,itemId,userId,user_cat,rating,timestamp,rating_group,item_cat,noise
6919257,1258,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
6942661,1259,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
6999657,1265,578,Average,1.5,5/13/2008,Wu,Strongly-preferred,0
7064946,1270,578,Average,4.5,6/26/2008,Su,Strongly-preferred,0
7145599,1276,578,Average,3.5,5/26/2008,Au,Strongly-preferred,0
7208176,1285,578,Average,4.5,5/29/2008,Su,Strongly-preferred,0
7230458,1288,578,Average,4,11/8/2008,Su,Strongly-preferred,0
7251760,1291,578,Average,4,5/12/2008,Su,Strongly-preferred,0
7334412,1302,578,Average,4,5/13/2008,Su,Strongly-preferred,0
7421184,1333,578,Average,2.5,5/26/2008,Au,Strongly-preferred,0
7487485,1350,578,Average,4,1/23/2009,Su,Strongly-preferred,0
7500830,1356,578,Average,5,5/13/2008,Su,Strongly-preferred,0
7560344,1370,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
7585653,1372,578,Average,4,5/12/2008,Su,Variably-preferred,0
7603958,1374,578,Average,4,5/13/2008,Su,Strongly-preferred,0
7619834,1375,578,Average,4.5,5/26/2008,Su,Averagely-preferred,0
7630660,1376,578,Average,5,5/12/2008,Su,Strongly-preferred,0
7643745,1377,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
7666367,1380,578,Average,3.5,5/13/2008,Au,Variably-preferred,0
7693048,1387,578,Average,4,5/13/2008,Su,Strongly-preferred,0
7723282,1391,578,Average,3,5/13/2008,Au,Averagely-preferred,0
7742263,1393,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
7808872,1407,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
7952567,1485,578,Average,4,5/13/2008,Su,Averagely-preferred,0
8013979,1517,578,Average,4.5,5/13/2008,Su,Variably-preferred,0
8040922,1527,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
8078699,1544,578,Average,3,5/13/2008,Au,Averagely-preferred,0
8095682,1552,578,Average,4,5/13/2008,Su,Averagely-preferred,0
8111151,1556,578,Average,2,5/29/2008,Au,Averagely-preferred,0
8116587,1562,578,Average,3.5,11/6/2008,Au,Averagely-preferred,0
8142921,1573,578,Average,4,5/13/2008,Su,Averagely-preferred,0
8161811,1580,578,Average,4,5/13/2008,Su,Variably-preferred,0
8198647,1584,578,Average,3,5/13/2008,Au,Strongly-preferred,0
8315265,1611,578,Average,3.5,1/20/2009,Au,Variably-preferred,0
8360861,1620,578,Average,4.5,6/9/2008,Su,Averagely-preferred,0
8395854,1639,578,Average,4,5/29/2008,Su,Strongly-preferred,0
8410306,1641,578,Average,4,5/13/2008,Su,Strongly-preferred,0
8452973,1653,578,Average,4,5/13/2008,Su,Strongly-preferred,0
8548785,1682,578,Average,3,5/13/2008,Au,Strongly-preferred,0
8586880,1690,578,Average,3,5/12/2008,Au,Averagely-preferred,0
8615037,1704,578,Average,2,6/5/2008,Au,Strongly-preferred,0
8664042,1721,578,Average,0.5,6/5/2008,Wu,Variably-preferred,0
8696196,1722,578,Average,3,5/12/2008,Au,Averagely-preferred,0
8726833,1732,578,Average,4,5/13/2008,Su,Strongly-preferred,0
8786943,1760,578,Average,2,5/29/2008,Au,Weakly-preferred,0
8797557,1777,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
8818411,1784,578,Average,3.5,11/8/2008,Au,Strongly-preferred,0
8922823,1876,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
8990083,1909,578,Average,5,5/30/2008,Su,Averagely-preferred,0
9024024,1917,578,Average,5,5/13/2008,Su,Averagely-preferred,0
9067684,1923,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
9152281,1954,578,Average,3,5/13/2008,Au,Strongly-preferred,0
9200352,1961,578,Average,4,5/13/2008,Su,Strongly-preferred,0
9224881,1962,578,Average,4.5,11/6/2008,Su,Strongly-preferred,0
9253980,1968,578,Average,5,5/13/2008,Su,Strongly-preferred,0
9313294,1994,578,Average,3.5,6/9/2008,Au,Variably-preferred,0
9324928,1997,578,Average,5,5/13/2008,Su,Strongly-preferred,0
9340376,2000,578,Average,4,5/29/2008,Su,Strongly-preferred,0
9357984,2001,578,Average,4,5/13/2008,Su,Averagely-preferred,0
9371047,2002,578,Average,4,1/23/2009,Su,Averagely-preferred,0
9379879,2003,578,Average,3,5/13/2008,Au,Averagely-preferred,0
9395651,2005,578,Average,3,5/14/2008,Au,Strongly-preferred,0
9406062,2006,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
9429110,2011,578,Average,4,5/13/2008,Su,Averagely-preferred,0
9448564,2012,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
9533603,2028,578,Average,3,11/8/2008,Au,Strongly-preferred,0
9600075,2054,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
9632542,2064,578,Average,3.5,11/6/2008,Au,Strongly-preferred,0
9680178,2080,578,Average,3.5,5/26/2008,Au,Strongly-preferred,0
9690255,2081,578,Average,3,5/13/2008,Au,Variably-preferred,0
9812425,2115,578,Average,4,5/13/2008,Su,Strongly-preferred,0
9850329,2122,578,Average,2.5,7/8/2008,Au,Averagely-preferred,0
9974136,2161,578,Average,3,11/6/2008,Au,Variably-preferred,0
9990393,2167,578,Average,5,5/13/2008,Su,Averagely-preferred,0
10006401,2174,578,Average,3,5/13/2008,Au,Variably-preferred,0
10163320,2273,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
10210158,2291,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
10231781,2294,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
10341038,2329,578,Average,5,5/13/2008,Su,Strongly-preferred,0
10394745,2340,578,Average,4.5,12/20/2008,Su,Averagely-preferred,0
10432554,2355,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
10531189,2385,578,Average,3.5,9/30/2008,Au,Averagely-preferred,0
10548588,2393,578,Average,4,11/6/2008,Su,Averagely-preferred,0
10576798,2396,578,Average,2,5/29/2008,Au,Strongly-preferred,0
10710464,2424,578,Average,2,5/12/2008,Au,Averagely-preferred,0
10773824,2455,578,Average,3.5,5/26/2008,Au,Averagely-preferred,0
10875551,2502,578,Average,5,5/13/2008,Su,Strongly-preferred,0
10954721,2539,578,Average,3.5,5/26/2008,Au,Averagely-preferred,0
10964838,2541,578,Average,4.5,11/6/2008,Su,Averagely-preferred,0
11016470,2571,578,Average,4,2/16/2009,Su,Strongly-preferred,0
11067631,2572,578,Average,3.5,5/14/2008,Au,Variably-preferred,0
11114025,2599,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
11155952,2617,578,Average,5,5/13/2008,Su,Averagely-preferred,0
11215172,2640,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
11255368,2657,578,Average,3,5/13/2008,Au,Variably-preferred,0
11284325,2671,578,Average,2,5/13/2008,Au,Variably-preferred,0
11307376,2683,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
11369541,2693,578,Average,5,1/23/2009,Su,Strongly-preferred,0
11371400,2694,578,Average,4,5/26/2008,Su,Averagely-preferred,0
11382061,2699,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
11395929,2700,578,Average,2.5,5/29/2008,Au,Strongly-preferred,0
11428121,2706,578,Average,5,5/13/2008,Su,Variably-preferred,0
11460597,2710,578,Average,2,5/13/2008,Au,Averagely-preferred,0
11479992,2712,578,Average,1,5/13/2008,Wu,Variably-preferred,0
11499113,2716,578,Average,3,5/13/2008,Au,Strongly-preferred,0
11564188,2724,578,Average,3,11/6/2008,Au,Averagely-preferred,0
11637745,2762,578,Average,3.5,9/15/2008,Au,Strongly-preferred,0
11692808,2770,578,Average,2.5,5/12/2008,Au,Averagely-preferred,0
11756691,2797,578,Average,3,5/29/2008,Au,Strongly-preferred,0
11776122,2798,578,Average,3,5/29/2008,Au,Averagely-preferred,0
11777823,2799,578,Average,2,5/29/2008,Au,Weakly-preferred,0
11786887,2804,578,Average,0.5,5/13/2008,Wu,Strongly-preferred,0
11860076,2858,578,Average,4,7/8/2008,Su,Strongly-preferred,0
12027300,2918,578,Average,4,5/12/2008,Su,Strongly-preferred,0
12136952,2959,578,Average,4,11/6/2008,Su,Strongly-preferred,0
12209523,2985,578,Average,3.5,5/12/2008,Au,Averagely-preferred,0
12228669,2987,578,Average,3,5/13/2008,Au,Variably-preferred,0
12359001,3033,578,Average,4,5/13/2008,Su,Variably-preferred,0
12383336,3039,578,Average,3,5/26/2008,Au,Strongly-preferred,0
12402911,3052,578,Average,5,5/13/2008,Su,Strongly-preferred,0
12462747,3081,578,Average,2,5/13/2008,Au,Variably-preferred,0
12523639,3101,578,Average,2,5/12/2008,Au,Averagely-preferred,0
12570306,3114,578,Average,3,5/13/2008,Au,Strongly-preferred,0
12612093,3147,578,Average,3.5,5/12/2008,Au,Strongly-preferred,0
12695185,3175,578,Average,3,11/8/2008,Au,Strongly-preferred,0
12709135,3176,578,Average,2.5,5/13/2008,Au,Variably-preferred,0
12748049,3198,578,Average,2.5,5/14/2008,Au,Strongly-preferred,0
12791683,3247,578,Average,3.5,5/29/2008,Au,Averagely-preferred,0
12798760,3248,578,Average,3.5,5/29/2008,Au,Averagely-preferred,0
12815439,3253,578,Average,3,5/13/2008,Au,Variably-preferred,0
12833674,3255,578,Average,5,5/13/2008,Su,Averagely-preferred,0
12935991,3300,578,Average,5,12/5/2008,Su,Averagely-preferred,0
13019048,3363,578,Average,3.5,6/26/2008,Au,Strongly-preferred,0
13065102,3408,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
13080967,3409,578,Average,4,1/23/2009,Su,Averagely-preferred,0
13149004,3448,578,Average,3,5/13/2008,Au,Strongly-preferred,0
13241782,3489,578,Average,1.5,5/26/2008,Wu,Averagely-preferred,0
13256067,3499,578,Average,4,5/26/2008,Su,Strongly-preferred,0
13308474,3526,578,Average,4,1/23/2009,Su,Strongly-preferred,0
13335530,3535,578,Average,3.5,6/9/2008,Au,Variably-preferred,0
13366922,3552,578,Average,2.5,6/9/2008,Au,Strongly-preferred,0
13384156,3556,578,Average,4,6/26/2008,Su,Strongly-preferred,0
13461712,3617,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
13472056,3623,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
13488259,3624,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
13630558,3717,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
13681209,3751,578,Average,3,5/13/2008,Au,Strongly-preferred,0
13697662,3752,578,Average,3.5,5/26/2008,Au,Averagely-preferred,0
13747051,3785,578,Average,3.5,5/26/2008,Au,Averagely-preferred,0
13755732,3786,578,Average,4,6/26/2008,Su,Variably-preferred,0
13764485,3793,578,Average,5,5/13/2008,Su,Strongly-preferred,0
13861753,3863,578,Average,3,5/26/2008,Au,Averagely-preferred,0
13931485,3911,578,Average,3,6/5/2008,Au,Strongly-preferred,0
13943211,3916,578,Average,4,6/9/2008,Su,Strongly-preferred,0
13968869,3948,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
14034532,3977,578,Average,4,5/13/2008,Su,Averagely-preferred,0
14077757,3988,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
14089646,3994,578,Average,4,5/13/2008,Su,Variably-preferred,0
14136565,4002,578,Average,3.5,5/26/2008,Au,Strongly-preferred,0
14201290,4018,578,Average,4,5/13/2008,Su,Averagely-preferred,0
14219271,4022,578,Average,0.5,5/13/2008,Wu,Strongly-preferred,0
14243357,4025,578,Average,4,6/29/2008,Su,Averagely-preferred,0
14378619,4128,578,Average,4,1/18/2009,Su,Variably-preferred,0
14393475,4148,578,Average,4,5/14/2008,Su,Averagely-preferred,0
14420627,4187,578,Average,4,5/14/2008,Su,Strongly-preferred,0
14496695,4238,578,Average,4.5,6/8/2008,Su,Averagely-preferred,0
14508285,4246,578,Average,5,5/13/2008,Su,Variably-preferred,0
14542395,4270,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
14565626,4299,578,Average,5,1/23/2009,Su,Averagely-preferred,0
14573700,4306,578,Average,4,5/13/2008,Su,Strongly-preferred,0
14628289,4321,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
14677814,4361,578,Average,5,5/13/2008,Su,Strongly-preferred,0
14759043,4447,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
14808798,4508,578,Average,4,8/12/2008,Su,Averagely-preferred,0
14841870,4571,578,Average,4.5,1/31/2009,Su,Averagely-preferred,0
14854937,4587,578,Average,4.5,11/8/2008,Su,Averagely-preferred,0
14879376,4638,578,Average,3,5/13/2008,Au,Averagely-preferred,0
14890470,4641,578,Average,5,5/26/2008,Su,Strongly-preferred,0
14937309,4701,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
14950264,4718,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
14959610,4720,578,Average,1,5/13/2008,Wu,Strongly-preferred,0
14978705,4734,578,Average,5,6/9/2008,Su,Averagely-preferred,0
14994215,4754,578,Average,3.5,1/20/2009,Au,Strongly-preferred,0
15028364,4816,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
15081695,4874,578,Average,3,5/26/2008,Au,Averagely-preferred,0
15090060,4878,578,Average,4.5,7/8/2008,Su,Strongly-preferred,0
15116102,4886,578,Average,4,11/8/2008,Su,Strongly-preferred,0
15144462,4890,578,Average,5,5/28/2008,Su,Averagely-preferred,0
15149719,4896,578,Average,3,5/13/2008,Au,Strongly-preferred,0
15201531,4963,578,Average,4,5/13/2008,Su,Strongly-preferred,0
15268505,4979,578,Average,2.5,5/29/2008,Au,Strongly-preferred,0
15280976,4980,578,Average,4.5,1/31/2009,Su,Averagely-preferred,0
15290646,4993,578,Average,0.5,5/29/2008,Wu,Strongly-preferred,0
15330035,4995,578,Average,3.5,11/8/2008,Au,Strongly-preferred,0
15378683,5015,578,Average,3.5,12/28/2008,Au,Variably-preferred,0
15453730,5110,578,Average,3.5,12/20/2008,Au,Strongly-preferred,0
15491286,5218,578,Average,3,5/13/2008,Au,Variably-preferred,0
15522337,5254,578,Average,4,6/9/2008,Su,Averagely-preferred,0
15558909,5299,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
15592600,5349,578,Average,3.5,5/13/2008,Au,Variably-preferred,0
15707996,5445,578,Average,2.5,5/13/2008,Au,Strongly-preferred,0
15738829,5452,578,Average,3,5/29/2008,Au,Averagely-preferred,0
15742318,5459,578,Average,4,5/13/2008,Su,Averagely-preferred,0
15772074,5481,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
15788048,5502,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
15844594,5589,578,Average,4,1/23/2009,Su,Averagely-preferred,0
15878940,5630,578,Average,4,5/26/2008,Su,Averagely-preferred,0
15895454,5667,578,Average,3.5,2/17/2009,Au,Averagely-preferred,0
15897167,5669,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
15917080,5679,578,Average,1.5,5/13/2008,Wu,Averagely-preferred,0
15927730,5685,578,Average,4.5,6/9/2008,Su,Variably-preferred,0
15949825,5782,578,Average,3.5,5/14/2008,Au,Strongly-preferred,0
15976341,5816,578,Average,3,5/13/2008,Au,Variably-preferred,0
16057166,5952,578,Average,0.5,5/29/2008,Wu,Strongly-preferred,0
16209569,6155,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
16230153,6188,578,Average,4,6/9/2008,Su,Strongly-preferred,0
16244544,6218,578,Average,5,5/13/2008,Su,Variably-preferred,0
16317147,6333,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
16342231,6365,578,Average,3.5,2/16/2009,Au,Averagely-preferred,0
16362702,6373,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
16372659,6377,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
16439129,6502,578,Average,5,5/13/2008,Su,Strongly-preferred,0
16451265,6503,578,Average,4,6/9/2008,Su,Averagely-preferred,0
16467572,6537,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
16477518,6539,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
16579200,6708,578,Average,4,5/26/2008,Su,Variably-preferred,0
16676042,6863,578,Average,4,5/13/2008,Su,Averagely-preferred,0
16743693,6934,578,Average,3.5,2/16/2009,Au,Averagely-preferred,0
16769624,6944,578,Average,5,10/31/2008,Su,Averagely-preferred,0
16812178,6992,578,Average,3.5,7/8/2008,Au,Averagely-preferred,0
16858054,7064,578,Average,4,5/12/2008,Su,Strongly-preferred,0
16898862,7143,578,Average,1.5,5/13/2008,Wu,Strongly-preferred,0
16961582,7155,578,Average,4,6/9/2008,Su,Variably-preferred,0
17020026,7293,578,Average,3.5,5/26/2008,Au,Averagely-preferred,0
17031364,7317,578,Average,4,11/28/2008,Su,Averagely-preferred,0
17092165,7373,578,Average,4,5/13/2008,Su,Averagely-preferred,0
17104507,7387,578,Average,4,5/29/2008,Su,Strongly-preferred,0
17182651,7619,578,Average,3.5,5/14/2008,Au,Strongly-preferred,0
17190247,7701,578,Average,3,5/29/2008,Au,Averagely-preferred,0
17213593,7841,578,Average,4,11/6/2008,Su,Strongly-preferred,0
17277924,8360,578,Average,3,5/13/2008,Au,Variably-preferred,0
17299675,8366,578,Average,3.5,1/23/2009,Au,Strongly-preferred,0
17302174,8368,578,Average,2.5,5/13/2008,Au,Strongly-preferred,0
17317597,8371,578,Average,4.5,6/8/2008,Su,Averagely-preferred,0
17324003,8376,578,Average,2.5,5/13/2008,Au,Variably-preferred,0
17335676,8464,578,Average,4,5/29/2008,Su,Strongly-preferred,0
17354160,8528,578,Average,3,5/13/2008,Au,Averagely-preferred,0
17359563,8529,578,Average,0.5,5/13/2008,Wu,Averagely-preferred,0
17365675,8531,578,Average,3,6/8/2008,Au,Variably-preferred,0
17384926,8622,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
17397334,8636,578,Average,3,5/13/2008,Au,Variably-preferred,0
17424707,8644,578,Average,3.5,11/8/2008,Au,Averagely-preferred,0
17465493,8783,578,Average,2.5,6/5/2008,Au,Averagely-preferred,0
17520815,8874,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
17575126,8957,578,Average,3.5,10/31/2008,Au,Variably-preferred,0
17609696,8969,578,Average,4.5,5/28/2008,Su,Averagely-preferred,0
17635834,8984,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
17641690,8985,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
17713947,26828,578,Average,3,5/29/2008,Au,Weakly-preferred,0
17835821,30825,578,Average,4,6/9/2008,Su,Averagely-preferred,0
17924572,33004,578,Average,5,5/13/2008,Su,Averagely-preferred,0
17976138,33669,578,Average,3.5,8/18/2008,Au,Averagely-preferred,0
18028017,34162,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
18065706,35836,578,Average,3,5/13/2008,Au,Variably-preferred,0
18105139,37720,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
18158298,39446,578,Average,3.5,10/31/2008,Au,Averagely-preferred,0
18179381,40815,578,Average,3,5/13/2008,Au,Strongly-preferred,0
18204829,41566,578,Average,4,5/29/2008,Su,Averagely-preferred,0
18267025,44191,578,Average,3.5,11/8/2008,Au,Strongly-preferred,0
18296682,44397,578,Average,3,7/8/2008,Au,Averagely-preferred,0
18313761,44729,578,Average,3,5/29/2008,Au,Weakly-preferred,0
18342985,45499,578,Average,4,5/13/2008,Su,Averagely-preferred,0
18351055,45517,578,Average,3.5,9/30/2008,Au,Averagely-preferred,0
18364651,45722,578,Average,3.5,5/29/2008,Au,Averagely-preferred,0
18375297,45728,578,Average,4,9/15/2008,Su,Strongly-preferred,0
18378001,45730,578,Average,4,6/26/2008,Su,Averagely-preferred,0
18382353,45950,578,Average,0.5,6/9/2008,Wu,Strongly-preferred,0
18452272,47810,578,Average,3,1/20/2009,Au,Variably-preferred,0
18470804,48385,578,Average,5,5/13/2008,Su,Variably-preferred,0
18515992,48774,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
18524958,48780,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
18538210,48877,578,Average,3,10/31/2008,Au,Averagely-preferred,0
18620379,51255,578,Average,4,5/29/2008,Su,Strongly-preferred,0
18657762,52245,578,Average,3.5,6/9/2008,Au,Averagely-preferred,0
18675453,52644,578,Average,3.5,9/30/2008,Au,Averagely-preferred,0
18677443,52722,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
18686604,52973,578,Average,4.5,8/27/2008,Su,Variably-preferred,0
18701554,53125,578,Average,3,5/13/2008,Au,Averagely-preferred,0
18711275,53322,578,Average,3.5,5/29/2008,Au,Averagely-preferred,0
18715448,53435,578,Average,3,8/12/2008,Au,Averagely-preferred,0
18724508,53894,578,Average,4,6/9/2008,Su,Strongly-preferred,0
18736594,53996,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
18742401,54001,578,Average,2.5,5/13/2008,Au,Strongly-preferred,0
18748346,54004,578,Average,4,11/13/2008,Su,Averagely-preferred,0
18756857,54272,578,Average,3,5/29/2008,Au,Averagely-preferred,0
